Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753615098,100,,Aggregated,2.000000,1.900000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1411,1300,5700.0,12194.63580161829,11.201874993275851,150862.15529200854,3326.143869596031
1753615099,100,,Aggregated,2.000000,1.900000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1412,1301,5700.0,12190.863681864304,11.201874993275851,150862.15529200854,3324.790368271955
1753615100,100,,Aggregated,1.800000,1.700000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1415,1304,5700.0,12174.091048793207,11.201874993275851,150862.15529200854,3319.807067137809
1753615101,100,,Aggregated,2.000000,1.900000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1418,1307,5700.0,12158.241980666005,11.201874993275851,150862.15529200854,3314.845557122708
1753615102,100,,Aggregated,2.200000,2.100000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1419,1308,5700.0,12154.270634338538,11.201874993275851,150862.15529200854,3313.5066948555323
1753615103,100,,Aggregated,2.200000,2.100000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1420,1308,5700.0,12236.682043163652,11.201874993275851,150862.15529200854,3311.6556338028167
1753615104,100,,Aggregated,2.000000,1.900000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1422,1310,5700.0,12228.742809979893,11.201874993275851,150862.15529200854,3308.9880450070323
1753615105,100,,Aggregated,2.000000,1.900000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1423,1311,5700.0,12225.151246134508,11.201874993275851,150862.15529200854,3307.6570625439213
1753615106,100,,Aggregated,1.900000,1.700000,5700,6700,7400,7900,10000,117000,133000,136000,150000,151000,151000,1425,1313,5700.0,12212.072912572892,11.201874993275851,150862.15529200854,3304.0729824561404
1753615107,100,,Aggregated,1.800000,1.700000,5700,6700,7400,7900,10000,121000,133000,136000,150000,151000,151000,1429,1316,5700.0,12271.978043065343,11.201874993275851,150862.15529200854,3296.4205738278515
