test,model,batch_size,floating_point,concurrency,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait
alpha,meta-llama,2,fp16,1:24:2,0,3,1.48145,51,800,273,18,4027241,39,0,4059285,4570299,4770057,4887355,51,4028366
alpha,meta-llama,2,fp16,1:24:2,0,5,1.87034,49,766,266,20,5308558,42,0,4439927,8615021,8767041,9167957,49,5309647
alpha,meta-llama,2,fp16,1:24:2,0,7,2.23144,51,774,260,20,6215635,43,0,4789347,9274883,9511328,9615759,51,6216727
alpha,meta-llama,2,fp16,1:24:2,0,23,2.86104,54,840,1330650,26,14350414,60,0,16582224,23081044,23453634,24542570,54,15681983
alpha,meta-llama,2,fp16,1:24:2,0,9,2.87031,49,781,267,18,6346970,40,0,5401711,10484992,10746065,11161777,49,6348071
alpha,meta-llama,2,fp16,1:24:2,0,21,2.87031,52,789,1243449,23,12877513,56,0,14002646,22138925,22782795,23628536,52,14121826
alpha,meta-llama,2,fp16,1:24:2,0,15,2.88883,51,814,892666,18,9328582,48,0,8395879,17242573,17748343,18940023,51,10222123
alpha,meta-llama,2,fp16,1:24:2,0,11,2.90736,52,819,737180,16,6729348,42,0,6347062,11590516,11832682,13023746,52,7467399
alpha,meta-llama,2,fp16,1:24:2,0,13,2.90736,53,842,842871,18,8060980,45,0,6799157,16265582,17363900,18629422,53,8904749
alpha,meta-llama,2,fp16,1:24:2,0,17,2.93513,51,838,996690,19,10558215,52,0,11476287,17377135,18400940,19023196,51,11555807
alpha,meta-llama,2,fp16,1:24:2,0,19,2.94439,52,812,1185750,23,11904897,54,0,12889805,18414854,18837857,19440156,52,13091530
alpha,meta-llama,4,fp16,1:24:2,0,1,1.44442,50,803,259,22,2761067,44,0,2761297,2819456,2825055,2926229,50,2762190
alpha,meta-llama,4,fp16,1:24:2,0,3,2.51847,50,809,257,20,4692500,41,0,3997382,6933627,7251429,7523634,50,4693621
alpha,meta-llama,4,fp16,1:24:2,0,5,4.53694,50,793,253,18,4405247,39,0,4429879,4829606,4986830,5210282,50,4406343
alpha,meta-llama,4,fp16,1:24:2,0,7,5.27768,50,796,270,17,5243342,39,0,5250244,5491839,5557066,5721324,50,5244459
alpha,meta-llama,4,fp16,1:24:2,0,15,5.72211,54,727,939731,18,9403823,49,0,11212986,12669159,12970967,13255505,54,10344341
alpha,meta-llama,4,fp16,1:24:2,0,17,5.74061,47,766,1255615,19,10485657,52,0,11967610,13710510,13969481,14565528,47,11742104
alpha,meta-llama,4,fp16,1:24:2,0,23,5.77765,51,817,4709431,21,11061708,54,0,15665996,17705915,17973418,18469279,51,15772024
alpha,meta-llama,4,fp16,1:24:2,0,9,5.79617,51,836,669819,14,5519333,39,0,5990730,7902282,8149886,8490227,51,6190035
alpha,meta-llama,4,fp16,1:24:2,0,19,5.79618,48,773,2463711,20,10531181,53,0,13322905,14951651,15358468,16212104,48,12995731
alpha,meta-llama,4,fp16,1:24:2,0,13,5.81469,51,817,856323,17,8122313,47,0,8535298,12586025,12816932,12955883,51,8979510
alpha,meta-llama,4,fp16,1:24:2,0,21,5.83321,53,857,3397682,20,10979913,54,0,14476127,16267808,17046617,18033710,53,14378519
alpha,meta-llama,4,fp16,1:24:2,0,11,5.83321,51,836,753004,16,6750162,43,0,6546420,11376498,12314130,13079056,51,7504053
