test,model,batch_size,floating_point,concurrency,kv_cache,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,request/response,response wait
iota,rt-mistral,4,f32,1:128:16,8192,1,324.608,40,1040,265,27,9737,234,969,12310,12621,12722,13032,1009,11108
iota,rt-mistral,4,f32,1:128:16,8192,17,4654.99,44,728,1114,24,9896,462,2329,14385,16862,17695,19766,2373,11997
iota,rt-mistral,4,f32,1:128:16,8192,97,6070.08,53,713,50365,21,9932,548,2259,63762,65762,66506,68087,2312,61332
iota,rt-mistral,4,f32,1:128:16,8192,65,6075.17,46,644,29050,21,9937,535,2544,42599,44717,45412,46839,2590,39963
iota,rt-mistral,4,f32,1:128:16,8192,81,6078.6,49,642,39671,21,9941,526,2430,53124,55167,55893,57430,2479,50596
iota,rt-mistral,4,f32,1:128:16,8192,113,6085.18,58,695,60687,21,9923,531,2333,74155,76079,76773,78283,2391,71619
iota,rt-mistral,4,f32,1:128:16,8192,33,6089.14,46,700,7156,21,9922,523,3297,21396,24214,25046,26629,3343,18097
iota,rt-mistral,4,f32,1:128:16,8192,49,6101.19,47,679,18213,21,9918,511,2720,31891,34163,34943,36465,2767,29110
iota,rt-mistral,8,f32,1:128:16,8192,1,582.302,45,1585,287,27,9975,516,1296,13376,14926,15150,17199,1341,11647
iota,rt-mistral,8,f32,1:128:16,8192,97,6097.49,55,923,111702,16,9937,513,4038,127072,130220,131357,133446,4093,122617
iota,rt-mistral,8,f32,1:128:16,8192,65,6110.29,50,891,70084,15,9923,507,3581,84918,87512,88469,90356,3631,80967
iota,rt-mistral,8,f32,1:128:16,8192,81,6112.33,52,941,90235,15,9926,499,4285,105836,108826,109908,112227,4337,101107
iota,rt-mistral,8,f32,1:128:16,8192,49,6112.75,46,929,48745,15,9924,501,3929,63922,66689,67595,69586,3975,59610
iota,rt-mistral,8,f32,1:128:16,8192,113,6114.24,61,880,132855,15,9920,503,3534,147726,150436,151406,153473,3595,143765
iota,rt-mistral,8,f32,1:128:16,8192,17,6115.99,44,1371,6822,15,9922,496,3552,22008,24713,25696,27507,3596,17683
iota,rt-mistral,8,f32,1:128:16,8192,33,6117.22,45,1419,27322,15,9919,497,3908,42939,46150,47276,49578,3953,38179
iota,rt-meta-llama,1,f32,1:128:16,8192,1,81.0285,40,1165,261,27,9738,294,806,12377,12728,12801,13104,846,11266
iota,rt-meta-llama,1,f32,1:128:16,8192,17,1155.96,46,899,656,29,9953,720,2392,14034,18163,19577,22914,2438,11912
iota,rt-meta-llama,1,f32,1:128:16,8192,33,1821.32,49,814,1252,30,10310,1265,4384,17356,24195,25797,28945,4433,13390
iota,rt-meta-llama,1,f32,1:128:16,8192,49,2232.91,56,919,1662,31,10480,1559,7227,21135,31170,35121,39667,7283,14344
iota,rt-meta-llama,1,f32,1:128:16,8192,65,2654.52,77,1035,2125,33,10671,1898,8635,24076,33413,36595,41103,8712,15414
iota,rt-meta-llama,1,f32,1:128:16,8192,81,2894.35,142,1219,2375,35,10950,2127,11123,26554,39227,41628,46840,11265,16364
iota,rt-meta-llama,1,f32,1:128:16,8192,97,3096.53,276,1474,2793,37,11570,2367,12787,29209,44443,48060,53621,13063,17875
iota,rt-meta-llama,1,f32,1:128:16,8192,113,3166.25,449,1819,3113,40,11961,2626,15668,33884,51170,54657,60410,16117,19194
iota,rt-meta-llama,4,f32,1:128:16,8192,1,246.261,52,2075,291,26,10195,1070,2529,16088,18146,18380,21359,2581,12458
iota,rt-meta-llama,4,f32,1:128:16,8192,17,2906.76,45,1374,721,27,10652,1963,8603,22494,30274,32508,41413,8648,13833
iota,rt-meta-llama,4,f32,1:128:16,8192,33,3542.94,57,2314,1736,24,10813,2605,19685,31533,67299,73002,78822,19742,15711
iota,rt-meta-llama,4,f32,1:128:16,8192,49,4031.24,74,2295,3840,24,11006,3482,27867,43374,84005,88681,95994,27941,18988
iota,rt-meta-llama,4,f32,1:128:16,8192,113,4089.97,435,2630,44167,30,11965,3591,47651,110589,148803,159742,173015,48086,61092
iota,rt-meta-llama,4,f32,1:128:16,8192,97,4115.94,268,2015,31866,29,11809,3667,44626,85929,143304,152959,163953,44894,48464
iota,rt-meta-llama,4,f32,1:128:16,8192,65,4146.94,112,2601,7575,26,11370,3689,37293,57764,101841,106686,114202,37405,23507
iota,rt-meta-llama,4,f32,1:128:16,8192,81,4208.15,169,1904,19762,26,11487,3636,39992,70675,124761,140009,150682,40161,35858
iota,rt-meta-llama,8,f32,1:128:16,8192,1,346.132,44,4693,280,27,11027,1897,5136,20636,33095,33615,34870,5180,14150
kappa,rt-gemma3,8,f32,1:128:16,0,1,18.7015,45,3051,279,37,417703,1240,2875,423489,427323,427395,429615,2920,420231
kappa,rt-gemma3,8,f32,1:128:16,0,17,19.0568,59,4838,6097799,24,417348,1224,3979,7116070,7117953,7118193,7118952,4038,6517390
kappa,rt-gemma3,8,f32,1:128:16,0,113,19.0697,274,2117,40287296,28,417237,1689,4630,40637473,40649906,40863165,42532065,4904,40707249
kappa,rt-gemma3,8,f32,1:128:16,0,49,19.0723,365,2225,19671469,28,417234,1697,5361,20527898,20534425,20535209,20537957,5726,20091410
kappa,rt-gemma3,8,f32,1:128:16,0,81,19.0723,79,2320,33202657,28,417255,1735,4373,33947355,33952227,33952790,33954587,4452,33622722
kappa,rt-gemma3,8,f32,1:128:16,0,33,19.256,81,3217,11760007,30,417288,1662,5479,13822718,13836572,13836880,13838953,5560,12179983
kappa,rt-gemma3,8,f32,1:128:16,0,65,19.2573,78,2430,25325058,29,417274,1710,5456,27233024,27241659,27243187,27245653,5534,25745137
kappa,rt-gemma3,8,f32,1:128:16,0,97,19.2576,87,2378,38883362,27,417210,1679,4542,40638154,40653551,40656417,40656625,4629,39303266
kappa,rt-mistral,8,f32,1:128:16,0,1,572.961,47,1614,266,27,9966,495,1535,13910,14798,15021,16548,1582,11607
kappa,rt-mistral,8,f32,1:128:16,0,65,6104.6,50,952,69663,15,9916,523,4009,84954,87985,89082,91167,4059,80545
kappa,rt-mistral,8,f32,1:128:16,0,49,6105.99,47,939,49112,15,9912,526,3616,64001,66839,67796,69659,3663,60002
kappa,rt-mistral,8,f32,1:128:16,0,113,6107.34,66,962,132645,15,9919,515,3814,147772,151100,152323,155145,3880,143557
kappa,rt-mistral,8,f32,1:128:16,0,81,6107.81,55,903,89952,15,9906,527,4678,105887,109315,110541,113760,4733,100843
kappa,rt-mistral,8,f32,1:128:16,0,17,6109.42,45,1519,7990,15,9915,514,2248,22019,24251,25148,26926,2293,18963
kappa,rt-mistral,8,f32,1:128:16,0,97,6113.51,57,880,110353,15,9910,514,5142,126632,130576,131940,134936,5199,121243
kappa,rt-mistral,8,f32,1:128:16,0,33,6122.99,46,1456,28374,15,9906,502,2790,42808,45760,46782,49071,2836,39259
kappa,rt-meta-llama,8,f32,1:128:16,0,1,294.872,48,3606,264,27,10703,2221,10262,26788,29934,30141,33689,10310,14130
kappa,rt-meta-llama,8,f32,1:128:16,0,17,2976.13,54,4345,413,26,10897,3078,26878,32820,80081,84102,91292,26932,14962
kappa,rt-meta-llama,8,f32,1:128:16,0,33,3285.12,63,3598,853,26,10884,3737,61143,52158,191689,198245,207252,61206,16182
kappa,rt-meta-llama,8,f32,1:128:16,0,49,3754.66,86,4705,2045,25,11155,3780,82483,81683,228828,234515,244643,82569,17868
kappa,rt-meta-llama,8,f32,1:128:16,0,65,3838.24,139,3336,4048,25,11742,3709,112443,110915,271311,295479,307773,112582,20705
kappa,rt-meta-llama,8,f32,1:128:16,0,97,3867.42,244,5185,11710,26,12111,3734,167486,198150,348528,357235,383731,167730,29346
kappa,rt-meta-llama,8,f32,1:128:16,0,81,3922.71,216,4862,14775,24,12203,3737,129274,144325,313809,328600,340716,129490,32031
kappa,rt-meta-llama,8,f32,1:128:16,0,113,4065.25,441,4203,81384,24,11820,3857,120454,201725,354931,380677,398134,120895,98359
